trial,pgo,d,RT
1,0.5,1,222
2,0.5,1,237
3,0.5,1,246
4,0.5,1,247
5,0.5,1,249
6,0.5,1,250
7,0.5,1,251
8,0.5,1,255
9,0.5,1,256
10,0.5,1,256
11,0.5,1,257
12,0.5,1,258
13,0.5,1,261
14,0.5,1,261
15,0.5,1,264
16,0.5,1,265
17,0.5,1,267
18,0.5,1,267
19,0.5,1,268
20,0.5,1,269
21,0.5,1,270
22,0.5,1,271
23,0.5,1,271
24,0.5,1,271
25,0.5,1,272
26,0.5,1,273
27,0.5,1,273
28,0.5,1,275
29,0.5,1,277
30,0.5,1,277
31,0.5,1,277
32,0.5,1,279
33,0.5,1,279
34,0.5,1,280
35,0.5,1,280
36,0.5,1,281
37,0.5,1,281
38,0.5,1,281
39,0.5,1,281
40,0.5,1,281
41,0.5,1,281
42,0.5,1,283
43,0.5,1,283
44,0.5,1,283
45,0.5,1,284
46,0.5,1,284
47,0.5,1,284
48,0.5,1,285
49,0.5,1,286
50,0.5,1,287
51,0.5,1,287
52,0.5,1,288
53,0.5,1,289
54,0.5,1,289
55,0.5,1,291
56,0.5,1,291
57,0.5,1,291
58,0.5,1,291
59,0.5,1,294
60,0.5,1,295
61,0.5,1,295
62,0.5,1,296
63,0.5,1,296
64,0.5,1,296
65,0.5,1,298
66,0.5,1,298
67,0.5,1,298
68,0.5,1,301
69,0.5,1,301
70,0.5,1,302
71,0.5,1,302
72,0.5,1,302
73,0.5,1,302
74,0.5,1,302
75,0.5,1,303
76,0.5,1,303
77,0.5,1,303
78,0.5,1,303
79,0.5,1,304
80,0.5,1,304
81,0.5,1,305
82,0.5,1,306
83,0.5,1,307
84,0.5,1,308
85,0.5,1,308
86,0.5,1,308
87,0.5,1,309
88,0.5,1,310
89,0.5,1,311
90,0.5,1,311
91,0.5,1,311
92,0.5,1,311
93,0.5,1,311
94,0.5,1,312
95,0.5,1,315
96,0.5,1,315
97,0.5,1,315
98,0.5,1,316
99,0.5,1,316
100,0.5,1,316
101,0.5,1,316
102,0.5,1,317
103,0.5,1,317
104,0.5,1,317
105,0.5,1,318
106,0.5,1,319
107,0.5,1,319
108,0.5,1,319
109,0.5,1,319
110,0.5,1,319
111,0.5,1,319
112,0.5,1,320
113,0.5,1,320
114,0.5,1,320
115,0.5,1,321
116,0.5,1,321
117,0.5,1,321
118,0.5,1,322
119,0.5,1,322
120,0.5,1,323
121,0.5,1,323
122,0.5,1,324
123,0.5,1,324
124,0.5,1,325
125,0.5,1,325
126,0.5,1,325
127,0.5,1,326
128,0.5,1,326
129,0.5,1,326
130,0.5,1,327
131,0.5,1,327
132,0.5,1,327
133,0.5,1,328
134,0.5,1,328
135,0.5,1,328
136,0.5,1,328
137,0.5,1,328
138,0.5,1,330
139,0.5,1,332
140,0.5,1,333
141,0.5,1,333
142,0.5,1,333
143,0.5,1,334
144,0.5,1,335
145,0.5,1,335
146,0.5,1,335
147,0.5,1,336
148,0.5,1,337
149,0.5,1,337
150,0.5,1,337
151,0.5,1,338
152,0.5,1,338
153,0.5,1,339
154,0.5,1,339
155,0.5,1,339
156,0.5,1,340
157,0.5,1,340
158,0.5,1,340
159,0.5,1,340
160,0.5,1,342
161,0.5,1,342
162,0.5,1,342
163,0.5,1,342
164,0.5,1,343
165,0.5,1,343
166,0.5,1,343
167,0.5,1,343
168,0.5,1,343
169,0.5,1,343
170,0.5,1,343
171,0.5,1,344
172,0.5,1,345
173,0.5,1,345
174,0.5,1,345
175,0.5,1,345
176,0.5,1,346
177,0.5,1,346
178,0.5,1,346
179,0.5,1,346
180,0.5,1,346
181,0.5,1,347
182,0.5,1,347
183,0.5,1,347
184,0.5,1,347
185,0.5,1,347
186,0.5,1,347
187,0.5,1,347
188,0.5,1,349
189,0.5,1,349
190,0.5,1,349
191,0.5,1,350
192,0.5,1,351
193,0.5,1,351
194,0.5,1,352
195,0.5,1,352
196,0.5,1,353
197,0.5,1,353
198,0.5,1,353
199,0.5,1,353
200,0.5,1,354
201,0.5,1,354
202,0.5,1,354
203,0.5,1,354
204,0.5,1,354
205,0.5,1,355
206,0.5,1,356
207,0.5,1,356
208,0.5,1,356
209,0.5,1,356
210,0.5,1,357
211,0.5,1,358
212,0.5,1,358
213,0.5,1,359
214,0.5,1,359
215,0.5,1,360
216,0.5,1,360
217,0.5,1,361
218,0.5,1,361
219,0.5,1,362
220,0.5,1,362
221,0.5,1,363
222,0.5,1,363
223,0.5,1,364
224,0.5,1,364
225,0.5,1,364
226,0.5,1,364
227,0.5,1,365
228,0.5,1,365
229,0.5,1,365
230,0.5,1,365
231,0.5,1,366
232,0.5,1,366
233,0.5,1,367
234,0.5,1,369
235,0.5,1,369
236,0.5,1,370
237,0.5,1,370
238,0.5,1,370
239,0.5,1,370
240,0.5,1,371
241,0.5,1,371
242,0.5,1,372
243,0.5,1,372
244,0.5,1,372
245,0.5,1,372
246,0.5,1,372
247,0.5,1,373
248,0.5,1,374
249,0.5,1,374
250,0.5,1,374
251,0.5,1,375
252,0.5,1,376
253,0.5,1,376
254,0.5,1,377
255,0.5,1,377
256,0.5,1,377
257,0.5,1,377
258,0.5,1,378
259,0.5,1,378
260,0.5,1,378
261,0.5,1,379
262,0.5,1,379
263,0.5,1,379
264,0.5,1,381
265,0.5,1,381
266,0.5,1,382
267,0.5,1,383
268,0.5,1,384
269,0.5,1,384
270,0.5,1,384
271,0.5,1,384
272,0.5,1,384
273,0.5,1,384
274,0.5,1,385
275,0.5,1,386
276,0.5,1,387
277,0.5,1,387
278,0.5,1,387
279,0.5,1,388
280,0.5,1,389
281,0.5,1,389
282,0.5,1,391
283,0.5,1,392
284,0.5,1,392
285,0.5,1,392
286,0.5,1,393
287,0.5,1,393
288,0.5,1,394
289,0.5,1,394
290,0.5,1,395
291,0.5,1,395
292,0.5,1,396
293,0.5,1,396
294,0.5,1,396
295,0.5,1,396
296,0.5,1,396
297,0.5,1,397
298,0.5,1,398
299,0.5,1,399
300,0.5,1,399
301,0.5,1,401
302,0.5,1,402
303,0.5,1,402
304,0.5,1,403
305,0.5,1,403
306,0.5,1,403
307,0.5,1,404
308,0.5,1,405
309,0.5,1,405
310,0.5,1,407
311,0.5,1,410
312,0.5,1,410
313,0.5,1,410
314,0.5,1,411
315,0.5,1,411
316,0.5,1,412
317,0.5,1,412
318,0.5,1,413
319,0.5,1,414
320,0.5,1,415
321,0.5,1,416
322,0.5,1,416
323,0.5,1,416
324,0.5,1,417
325,0.5,1,417
326,0.5,1,417
327,0.5,1,417
328,0.5,1,417
329,0.5,1,418
330,0.5,1,418
331,0.5,1,419
332,0.5,1,420
333,0.5,1,421
334,0.5,1,421
335,0.5,1,422
336,0.5,1,422
337,0.5,1,423
338,0.5,1,423
339,0.5,1,426
340,0.5,1,426
341,0.5,1,427
342,0.5,1,427
343,0.5,1,427
344,0.5,1,428
345,0.5,1,428
346,0.5,1,428
347,0.5,1,428
348,0.5,1,429
349,0.5,1,430
350,0.5,1,430
351,0.5,1,431
352,0.5,1,432
353,0.5,1,433
354,0.5,1,433
355,0.5,1,435
356,0.5,1,435
357,0.5,1,435
358,0.5,1,437
359,0.5,1,438
360,0.5,1,438
361,0.5,1,440
362,0.5,1,441
363,0.5,1,441
364,0.5,1,442
365,0.5,1,443
366,0.5,1,445
367,0.5,1,450
